City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Lenine,UA,45.2986,35.7771,76.73,57,39,9.46,scattered clouds
311,Huron,US,41.1501,-82.5499,68.72,89,100,4.79,overcast clouds
312,Henties Bay,NA,-22.116,14.2845,53.38,94,25,1.83,scattered clouds
313,Ntcheu,MW,-14.8203,34.6359,60.39,45,12,7.36,few clouds
314,Trairi,BR,-3.2778,-39.2689,74.64,84,69,9.13,broken clouds
315,Mocuba,MZ,-16.8392,36.9856,64.53,83,42,3.29,scattered clouds
316,Chara,RU,56.9064,118.2631,82.76,39,54,4.32,broken clouds
317,Bitung,ID,1.4451,125.1824,88.65,71,76,13.13,broken clouds
318,Kahului,US,20.8947,-156.47,80.62,73,40,18.41,scattered clouds
319,Adrar,MR,20.5022,-10.0711,87.06,37,52,6.58,broken clouds
320,Kokopo,PG,-4.352,152.2633,85.55,63,39,5.46,scattered clouds
321,Dunedin,NZ,-45.8742,170.5036,45.72,93,100,19.06,overcast clouds
322,Melhus,NO,63.2855,10.2781,56.86,91,100,3.74,light rain
323,Inhambane,MZ,-23.865,35.3833,65.07,67,0,8.08,clear sky
324,Baykit,RU,61.67,96.37,71.69,47,100,6.26,overcast clouds
325,Sao Filipe,CV,14.8961,-24.4956,77.76,88,96,4.54,overcast clouds
326,Turukhansk,RU,65.8167,87.9833,63.5,68,95,6.67,overcast clouds
327,Grottaglie,IT,40.5392,17.4337,87.33,50,0,2.91,clear sky
328,Pochutla,MX,15.7432,-96.4661,78.82,91,62,4.18,broken clouds
329,Yamada,JP,39.4667,141.95,78.84,87,48,5.86,scattered clouds
330,Nantucket,US,41.2835,-70.0995,77.05,94,100,16.11,overcast clouds
331,Bad Lippspringe,DE,51.7833,8.8167,64.65,76,46,5.01,scattered clouds
332,Kruisfontein,ZA,-34.0033,24.7314,48.74,63,0,7.38,clear sky
333,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,96,1.01,overcast clouds
334,Svetlyy,RU,54.675,20.1347,70.97,65,98,11.18,moderate rain
335,Vagur,FO,61.4732,-6.8119,50.67,92,45,11.99,scattered clouds
336,Burnie,AU,-41.0667,145.9167,56.95,82,59,2.24,broken clouds
337,Pimentel,PE,-6.8367,-79.9342,62.19,91,71,10.85,broken clouds
338,Bud,US,39.447,-86.1758,71.67,90,100,1.03,overcast clouds
339,Bardiyah,LY,31.7561,25.0865,81.66,66,0,16.26,clear sky
340,Hobyo,SO,5.3505,48.5268,80.28,64,58,22.08,broken clouds
341,Kindu,CD,-2.95,25.95,78.39,68,56,0.85,broken clouds
342,Cochrane,CA,51.1834,-114.4687,63.21,88,100,3.44,overcast clouds
343,Liku,ID,-0.7275,119.8922,86.88,60,85,3.33,overcast clouds
344,Gravelbourg,CA,49.8834,-106.5512,57.47,85,70,4.23,broken clouds
345,Matara,LK,5.9485,80.5353,85.95,67,90,13.42,overcast clouds
346,Winslow,US,35.0242,-110.6974,73.58,64,100,10.36,light rain
